Learner_ID,Name,Email,Track,Cohort,Enrollment_Date,Program_Status
AWS_C1_001,Dorothy Choi,dorothy.choi73@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_002,Emily Nguyen,emily.nguyen73@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_003,Charles Liu,charles.liu94@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_004,Elizabeth Wang,elizabeth.wang88@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_005,Ming Martinez,ming.martinez11@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_006,Nadia Ahmed,nadia.ahmed98@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_007,Sofia Morris,sofia.morris28@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_008,Zainab Liu,zainab.liu36@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_009,Babatunde Chen,babatunde.chen31@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_010,Kwame Verma,kwame.verma14@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_011,Nadia Park,nadia.park15@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_012,Ronald Gonzalez,ronald.gonzalez45@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_013,Amy Johnson,amy.johnson94@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_014,Jennifer King,jennifer.king44@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_015,Elizabeth Miller,elizabeth.miller67@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_016,Amy Green,amy.green60@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_017,Emily Hall,emily.hall76@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_018,Kenneth Chen,kenneth.chen35@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_019,Timothy Nwosu,timothy.nwosu94@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C1_020,Angela Robinson,angela.robinson64@email.com,AWS Cloud,Cohort 1,2025-10-13,Completed
AWS_C2_001,William Smith,william.smith28@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_002,Carol Kumar,carol.kumar88@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_003,Elizabeth White,elizabeth.white43@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_004,Cynthia Nwobi,cynthia.nwobi12@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_005,Emeka Clark,emeka.clark74@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_006,Sarah Campbell,sarah.campbell49@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_007,Yetunde Smith,yetunde.smith67@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_008,Linda Reed,linda.reed79@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_009,Arjun Adeyemi,arjun.adeyemi95@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_010,Lucas Anderson,lucas.anderson24@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_011,Michael Hill,michael.hill60@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_012,Rebecca Collins,rebecca.collins41@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_013,Joshua Reed,joshua.reed81@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_014,Christopher Obiora,christopher.obiora42@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_015,Ronald Balogun,ronald.balogun79@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_016,Arjun Turner,arjun.turner24@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_017,Gary Taylor,gary.taylor76@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
AWS_C2_018,Patricia Wang,patricia.wang76@email.com,AWS Cloud,Cohort 2,2026-01-12,Ongoing
PB_C1_001,Kwame Okeke,kwame.okeke54@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_002,Ananya Verma,ananya.verma96@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_003,Raj Brown,raj.brown32@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_004,Nancy Flores,nancy.flores89@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_005,Stephanie Davis,stephanie.davis69@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_006,Susan Nelson,susan.nelson43@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_007,Jonathan Flores,jonathan.flores93@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_008,Anthony Hill,anthony.hill26@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_009,Robert Stewart,robert.stewart34@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_010,Diego Liu,diego.liu48@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_011,Ivan King,ivan.king35@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_012,Karen Campbell,karen.campbell12@email.com,Power BI,Cohort 1,2025-10-06,Completed
PB_C1_013,Dorothy Green,dorothy.green67@email.com,Power BI,Cohort 1,2025-10-06,Completed
