Date,Year,Month,Month_Name,YearMonth,Day,Week,Learner_ID,Cohort,Track,Name,Participation_Score,Comments_Made,Questions_Asked,Attended_Session
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,10.0,15,7,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,1.0,3,0,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,1.2,5,2,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,10.0,0,4,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_005,Cohort 1,AWS Cloud,Ming Martinez,6.9,13,7,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_006,Cohort 1,AWS Cloud,Nadia Ahmed,0.0,0,0,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_007,Cohort 1,AWS Cloud,Sofia Morris,6.8,0,3,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_008,Cohort 1,AWS Cloud,Zainab Liu,6.4,3,2,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_009,Cohort 1,AWS Cloud,Babatunde Chen,3.0,4,1,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_010,Cohort 1,AWS Cloud,Kwame Verma,7.6,0,4,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_011,Cohort 1,AWS Cloud,Nadia Park,2.3,5,2,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_012,Cohort 1,AWS Cloud,Ronald Gonzalez,6.4,5,0,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_013,Cohort 1,AWS Cloud,Amy Johnson,0.0,0,0,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_014,Cohort 1,AWS Cloud,Jennifer King,0.0,0,0,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_015,Cohort 1,AWS Cloud,Elizabeth Miller,0.0,0,0,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_016,Cohort 1,AWS Cloud,Amy Green,0.0,0,0,False
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_017,Cohort 1,AWS Cloud,Emily Hall,1.1,6,4,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_018,Cohort 1,AWS Cloud,Kenneth Chen,7.3,1,0,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_019,Cohort 1,AWS Cloud,Timothy Nwosu,6.4,4,1,True
2025-10-13,2025,10,October,2025-10,Monday,1,AWS_C1_020,Cohort 1,AWS Cloud,Angela Robinson,7.2,17,5,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_001,Cohort 1,AWS Cloud,Dorothy Choi,10.0,17,2,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_002,Cohort 1,AWS Cloud,Emily Nguyen,0.0,0,0,False
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_003,Cohort 1,AWS Cloud,Charles Liu,5.4,6,1,True
2025-10-14,2025,10,October,2025-10,Tuesday,1,AWS_C1_004,Cohort 1,AWS Cloud,Elizabeth Wang,8.3,6,0,True
